CXXX,完整性,实质性工作,摘要质量,写作水平,总得分,等级
C397,6,6,5,6,23,Medium
C398,6,6,5,6,23,Medium
C399,6,6,5,6,23,Medium
C400,8,8,7,8,31,High
C401,0,0,0,0,8,Low
C402,6,6,5,6,23,Medium
C403,8,9,8,8,33,High
C404,6,6,5,5,22,Medium
C405,3,3,3,3,12,Low
C406,6,6,5,5,22,Medium
C407,6,6,4,4,20,Medium
C408,8,8,8,8,32,High
C409,3,2,2,2,9,Low
C410,3,4,3,4,14,Low
C411,8,9,7,8,32,High
C412,8,9,8,8,33,High
C413,3,3,3,3,12,Low
C414,3,3,2,3,11,Low
C415,6,6,5,6,23,Medium
C416,8,9,7,8,32,High
C417,8,8,8,8,32,High
C418,6,6,5,5,22,Medium
C419,8,9,8,8,33,High
C420,6,6,5,5,22,Medium
C421,6,6,5,5,22,Medium
C422,2,3,2,3,10,Low
C423,8,9,8,8,33,High
C424,6,6,5,5,22,Medium
C425,8,8,7,8,31,High
C426,8,8,7,8,31,High
C427,3,3,3,3,12,Low
C428,6,6,5,5,22,Medium
C429,8,8,7,8,31,High
C430,3,3,3,3,12,low
C431,3,3,3,3,12,Low
C432,6,6,6,6,24,Medium
C433,8,8,8,8,32,High
C434,6,6,5,6,23,Medium
C435,8,9,8,8,33,High
C436,8,8,8,8,32,High
C437,6,6,5,6,23,Medium
C438,8,9,8,8,33,High
C439,6,6,5,5,22,Medium
C440,6,6,5,5,22,Medium
C441,8,9,8,8,33,High
C442,8,9,7,8,32,High
C443,6,6,4,6,22,Medium
C444,6,6,5,5,22,Medium
C445,8,8,8,8,32,High
C446,6,6,5,5,22,Medium
C447,6,6,6,6,24,Medium
C448,8,9,8,8,33,High
C449,8,9,8,8,33,High
C450,8,9,8,8,33,High
C451,3,3,3,3,12,Low
C452,8,9,8,8,33,High
C453,6,6,4,6,22,Medium
C454,8,9,7,8,32,High
C455,8,9,7,8,32,High
C456,6,6,4,5,21,Medium
C457,8,9,8,8,33,High
C458,8,9,8,8,33,High
C459,6,6,5,6,23,Medium
C460,6,6,5,6,23,Medium
C461,8,9,7,8,32,High
C462,6,6,5,5,22,Medium
C463,8,8,8,8,32,High
C464,6,6,5,6,23,Medium
C465,6,6,4,5,21,Medium
C466,6,6,5,6,23,Medium
C467,3,3,2,3,11,Low
C468,8,9,8,8,33,High
C469,3,4,2,3,12,Low
C470,3,3,2,3,11,Low
C471,7,7,6,7,27,Medium
C472,8,8,7,8,31,High
C473,8,9,8,8,33,High
C474,6,6,5,5,22,Medium
C475,3,3,2,3,11,Low
C476,6,6,5,5,22,Medium
C477,6,6,5,5,22,Medium
C478,6,6,5,6,23,Medium
C479,6,6,5,6,23,Medium
C480,7,7,6,6,26,Medium
C481,6,6,5,5,22,Medium
C482,6,6,5,6,23,Medium
C483,8,9,8,8,33,High
C484,3,3,3,3,12,Low
C485,6,6,5,6,23,Medium
C486,8,8,8,8,32,High
C487,6,6,5,6,23,Medium
C488,8,8,7,8,31,High
C489,3,3,3,3,12,Low
C490,6,6,5,5,22,Medium
C491,8,9,8,8,33,High
C492,6,6,5,6,23,Medium
C493,3,3,2,3,11,Low
C494,8,9,8,8,33,High
C495,8,9,8,8,33,High
C496,8,8,7,8,31,High
C497,6,6,5,5,22,Medium
C498,8,9,8,8,33,High
C499,8,8,7,8,31,High
C500,6,6,5,6,23,Medium
C501,8,9,8,8,33,High
C502,8,9,8,8,33,High
C503,3,3,2,3,11,Low
C504,6,6,5,6,23,Medium
C505,3,3,3,3,12,Low
C506,6,6,5,6,23,Medium
C507,6,6,5,6,23,Medium
C508,6,6,5,6,23,Medium
C509,8,8,7,8,31,High
C510,3,4,3,4,14,Low
C511,6,6,5,5,22,Medium
C512,6,6,4,5,21,Medium
C513,8,9,8,8,33,High
C514,3,3,2,3,11,Low
C515,6,6,5,6,23,Medium
C516,8,9,8,8,33,High
C517,8,9,8,8,33,High
C518,6,6,5,6,23,Medium
C519,6,6,5,5,22,Medium
C520,8,8,7,8,31,High
C521,6,6,6,6,24,Medium
C522,8,9,8,8,33,High
C523,8,9,8,8,33,High
C524,6,7,6,6,25,Medium
C525,8,9,8,8,33,High
C526,3,3,3,3,12,Low
C527,6,6,5,6,23,Medium
C528,6,6,5,6,23,Medium
C529,6,6,5,6,23,Medium
C530,6,6,5,6,23,Medium
C531,2,2,2,2,8,Low
C532,6,6,4,5,21,Medium
C533,6,6,5,6,23,Medium
C534,6,6,5,6,23,Medium
C535,6,6,5,6,23,Medium
C536,6,6,5,5,22,Medium
C537,6,6,5,6,23,Medium
C538,6,6,4,6,22,Medium
C539,6,6,5,6,23,Medium
C540,6,6,5,5,22,Medium
C541,3,3,3,3,12,Low
C542,8,8,7,8,31,High
C543,6,6,5,6,23,Medium
C544,6,6,5,6,23,Medium
C545,6,6,6,6,24,Medium
C546,6,6,5,6,23,Medium
C547,6,6,6,6,24,Medium
C548,8,9,8,8,33,High
C549,3,3,2,3,11,Low
C550,6,6,4,5,21,Medium
C551,6,6,5,5,22,Medium
C552,8,9,8,8,33,High
C553,6,6,5,6,23,Medium
C554,6,7,6,6,25,Medium
C555,6,7,6,6,25,Medium
C556,6,6,5,6,23,Medium
C557,4,4,3,4,15,Low
C558,6,6,5,5,22,Medium
C559,6,6,5,6,23,Medium
C560,8,9,8,9,34,High
C561,6,6,4,5,21,Medium
C562,6,6,5,5,22,Medium
C563,8,9,8,8,33,High
C564,5,6,4,5,20,Medium
C565,6,6,5,5,22,Medium
C566,3,3,2,3,11,Low
C567,8,8,8,8,32,High
C568,6,7,5,6,24,Medium
C569,6,6,5,6,23,Medium
C570,8,8,8,8,32,High
C571,6,6,5,6,23,Medium
C572,6,6,4,4,20,Medium
C573,8,9,8,8,33,High
C574,8,9,8,8,33,High
C575,6,6,5,6,23,Medium
C576,0,0,0,0,23,Medium
C577,3,4,3,3,13,Low
C578,3,3,3,3,12,Low
C579,6,6,5,5,22,Medium
C580,6,6,5,6,23,Medium
C581,6,6,5,6,23,Medium
C582,6,6,5,5,22,Medium
C583,3,3,3,3,12,Low
C584,6,6,4,4,20,Medium
C585,6,6,5,6,23,Medium
C586,6,6,6,6,24,Medium
C587,6,6,5,5,22,Medium
C588,8,8,7,8,31,High
C589,6,6,6,6,24,Medium
C590,6,6,5,6,23,Medium
C591,3,3,3,3,12,Low
C592,8,9,8,8,33,High
C593,6,6,5,5,22,Medium
C594,6,6,5,5,22,Medium
C595,6,6,5,5,22,Medium
C596,3,3,2,3,11,Low
C597,8,8,8,8,32,High
C598,6,6,5,5,22,Medium
C599,8,8,7,8,31,High
C600,6,6,6,6,24,Medium
C601,8,9,7,8,32,High
C602,8,9,7,8,32,High
C603,8,8,7,8,31,High
C604,8,8,7,8,31,High
C605,7,7,6,6,26,Medium
C606,6,6,5,6,23,Medium
C607,6,6,6,6,24,Medium
C608,8,9,8,8,33,High
C609,3,3,2,3,11,Low
